"@timestamp","Average_Jitter_Downlink_Mb","Average_Jitter_Downlink_S1U","Average_Jitter_Uplink_Mb","Average_Jitter_Uplink_S1U","Average_Latency_Downlink_Mb","Average_Latency_Downlink_S1U","Average_Latency_Uplink_Mb","Average_Latency_Uplink_S1U","Average_One_Way_Audio_Downlink_Mb","Average_One_Way_Audio_Downlink_S1U","Average_One_Way_Audio_Uplink_Mb","Average_One_Way_Audio_Uplink_S1U","Average_Packet_Loss_Downlink_Mb","Average_Packet_Loss_Downlink_S1U","Average_Packet_Loss_Uplink_Mb","Average_Packet_Loss_Uplink_S1U","Count_Jitter_Downlink_S1U","Count_Jitter_Uplink_S1U","Count_Latency_Downlink_S1U","Count_Latency_Uplink_S1U","Count_PacketLoss_Uplink_S1U","Count_Packet_Loss_Downlink_S1U","DEPARTAMENTO","HOSTNAME","LATITUD","LOCALIDAD","LONGITUD","MOS_Average_Downlink_Mb","MOS_Average_Downlink_S1U","MOS_Average_Uplink_Mb","MOS_Average_Uplink_S1U","MOS_Count_Downlink_S1U","MOS_Count_Uplink_S1U","PROVINCIA","R-FACTOR_Count_Downlink_S1U","R-FACTOR_Count_Uplink_S1U","TIMESTAMP","_id","_index","_type","highlight","location","sort","tags","type"
2024-04-29 12:40:11.960,0,4.06,0,11.4,0,44.5,0,49.2,,1,,50,0,1.97,0,1.07,54,47,54,47,47,54,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,3.87,0,3.79,54,47,CORDOBA,54,47,4/29/2024 12:29:00 PM,P9yDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211960, 666467",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.960,0,4.81,0,9.71,0,49.3,0,43.2,,1,,10,0,11.2,0,0.180,30,29,30,29,29,30,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,3.10,0,3.95,30,29,CORDOBA,30,29,4/29/2024 12:28:00 PM,PtyDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211960, 666466",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.960,0,4.37,0,10.4,0,48.0,0,41.0,,0,,2,0,3.14,0,0.950,60,60,60,60,60,60,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,3.76,0,3.88,60,60,CORDOBA,60,60,4/29/2024 12:27:00 PM,PdyDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211960, 666465",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.960,0,4.40,0,9.70,0,46.2,0,41.5,,53,,1,0,0.0700,0,0.250,43,52,43,52,52,43,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,3.94,0,3.97,43,52,CORDOBA,43,52,4/29/2024 12:26:00 PM,PNyDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211960, 666464",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.960,0,4.19,0,8.29,0,47.3,0,43.1,,38,,0,0,3.80,0,0.210,52,56,52,56,56,52,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,3.79,0,3.94,52,56,CORDOBA,52,56,4/29/2024 12:25:00 PM,O9yDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211960, 666463",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.960,0,3.81,0,11.2,0,43.1,0,44.6,,40,,12,0,0.0700,0,0.700,68,73,68,73,73,68,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,3.99,0,3.90,68,73,CORDOBA,68,73,4/29/2024 12:24:00 PM,OtyDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211960, 666462",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.960,0,4.75,0,11.2,0,40.1,0,39.3,,0,,33,0,0.0100,0,1.05,70,70,70,70,70,70,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,3.97,0,3.80,70,70,CORDOBA,70,70,4/29/2024 12:23:00 PM,OdyDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211960, 666461",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.960,0,10.5,0,14.4,0,39.0,0,44.1,,2,,2,0,0.0200,0,3.07,76,76,76,76,76,76,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,4.02,0,3.59,76,76,CORDOBA,76,76,4/29/2024 12:22:00 PM,ONyDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211960, 666460",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.960,0,2.21,0,12.2,0,44.9,0,43.7,,0,,13,0,0.120,0,6.39,92,91,92,91,91,92,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,4.04,0,3.23,92,91,CORDOBA,92,91,4/29/2024 12:21:00 PM,N9yDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211960, 666459",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.959,0,2.39,0,11.7,0,45.2,0,47.8,,2,,33,0,0.110,0,2.49,32,30,32,30,30,32,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,4.07,0,3.61,32,30,CORDOBA,32,30,4/29/2024 12:20:00 PM,NtyDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211959, 666458",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.959,0,0.790,0,12.1,0,50,0,50,,0,,9,0,0,0,1.80,31,29,31,29,29,31,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,4.15,0,3.64,31,29,CORDOBA,31,29,4/29/2024 12:19:00 PM,NdyDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211959, 666457",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.959,0,0.450,0,12.8,0,50,0,50,,0,,2,0,0.0200,0,0.570,32,32,32,32,32,32,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,4.16,0,4,32,32,CORDOBA,32,32,4/29/2024 12:18:00 PM,NNyDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211959, 666456",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.959,0,0.500,0,12.3,0,50,0,50,,0,,32,0,0,0,1.32,46,45,46,45,45,46,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,4.18,0,3.86,46,45,CORDOBA,46,45,4/29/2024 12:17:00 PM,M9yDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211959, 666455",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.959,0,1.64,0,11.4,0,47.9,0,50,,0,,0,0,0.0300,0,0.590,53,53,53,53,53,53,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,4.15,0,3.99,53,53,CORDOBA,53,53,4/29/2024 12:16:00 PM,MtyDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211959, 666454",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.959,0,2.71,0,11.7,0,47.6,0,50,,0,,21,0,0.0100,0,0.220,58,53,58,53,53,58,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,4.14,0,4.08,58,53,CORDOBA,58,53,4/29/2024 12:15:00 PM,MdyDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.359847,-64.168651","1714405211959, 666453",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.959,0,11.4,0,20.7,0,48.0,0,50,,1,,2,0,0.0700,0,0,15,14,15,14,14,15,YERBA BUENA,TU00762L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.10,0,4.12,15,14,TUCUMAN,15,14,4/29/2024 12:26:00 PM,J9yDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.814048,-65.273383","1714405211959, 666443",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.959,0,9.89,0,7.97,0,36.8,0,44.5,,0,,0,0,0.0300,0,0.550,13,13,13,13,13,13,YERBA BUENA,TU00760L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,3.95,0,3.75,13,13,TUCUMAN,13,13,4/29/2024 12:29:00 PM,HNyDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.823324,-65.268509","1714405211959, 666432",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.959,0,2.19,0,9.95,0,35.5,0,40.1,,0,,0,0,2.05,0,0,14,14,14,14,14,14,YERBA BUENA,TU00760L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,3.81,0,4.09,14,14,TUCUMAN,14,14,4/29/2024 12:24:00 PM,F9yDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.823324,-65.268509","1714405211959, 666427",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.958,0,0.490,0,11.1,0,50,0,50,,0,,2,0,0.0900,0,1.12,19,19,19,19,19,19,YERBA BUENA,TU00760L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.13,0,3.88,19,19,TUCUMAN,19,19,4/29/2024 12:15:00 PM,ENyDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.823324,-65.268509","1714405211958, 666420",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.958,0,0.270,0,8.44,0,50,0,50,,1,,0,0,0,0,0.230,17,17,17,17,17,17,YERBA BUENA,TU00759L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.12,0,4.05,17,17,TUCUMAN,17,17,4/29/2024 12:26:00 PM,DNyDKo8BbzH95Go-mMVs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.829388,-65.294543","1714405211958, 666416",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.958,0,0.660,0,12.4,0,50,0,50,,61,,1,0,0.600,0,0.120,7,17,7,17,17,7,YERBA BUENA,TU00758L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,3.95,0,4.13,7,17,TUCUMAN,7,17,4/29/2024 12:27:00 PM,_tyDKo8BbzH95Go-mMRs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.813436,-65.304163","1714405211958, 666402",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.958,0,0.960,0,12.9,0,50,0,50,,71,,1,0,3.57,0,0,4,15,4,15,15,4,YERBA BUENA,TU00758L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,3.49,0,4.15,4,15,TUCUMAN,4,15,4/29/2024 12:26:00 PM,_dyDKo8BbzH95Go-mMRs,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.813436,-65.304163","1714405211958, 666401",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.884,0,0.280,0,9.63,0,50,0,50,,0,,1,0,0.0400,0,4.65,14,14,14,14,14,14,YERBA BUENA,TU00750L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.11,0,3.13,14,14,TUCUMAN,14,14,4/29/2024 12:29:00 PM,atyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.823556,-65.303825","1714405211884, 1025420",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.884,0,0.230,0,9.87,0,50,0,50,,0,,0,0,0,0,0.0500,11,11,11,11,11,11,YERBA BUENA,TU00750L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.12,0,4.10,11,11,TUCUMAN,11,11,4/29/2024 12:28:00 PM,adyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.823556,-65.303825","1714405211884, 1025419",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.884,0,82.9,0,28.6,0,35.8,0,50.6,,0,,0,0,0,0,0.640,15,15,15,15,15,15,YERBA BUENA,TU00750L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.10,0,3.95,15,15,TUCUMAN,15,15,4/29/2024 12:20:00 PM,Z9yDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.823556,-65.303825","1714405211884, 1025417",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.884,0,110,0,27.7,0,35.7,0,49.4,,0,,11,0,0.100,0,0.0300,14,13,14,13,13,14,YERBA BUENA,TU00750L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,3.92,0,4.12,14,13,TUCUMAN,14,13,4/29/2024 12:19:00 PM,ZtyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.823556,-65.303825","1714405211884, 1025416",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.884,0,83.3,0,21.2,0,40.3,0,49.1,,23,,0,0,0,0,0.650,18,22,18,22,22,18,YERBA BUENA,TU00750L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,3.97,0,3.95,18,22,TUCUMAN,18,22,4/29/2024 12:18:00 PM,ZdyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.823556,-65.303825","1714405211884, 1025415",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.884,0,60.6,0,21.1,0,41.8,0,51.4,,0,,2,0,0.120,0,1.59,20,20,20,20,20,20,YERBA BUENA,TU00750L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.03,0,3.93,20,20,TUCUMAN,20,20,4/29/2024 12:17:00 PM,ZNyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.823556,-65.303825","1714405211884, 1025414",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,0.670,0,6.07,0,50,0,50,,0,,2,0,1.42,0,0,16,16,16,16,16,16,YERBA BUENA,TU00748L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,3.89,0,4.11,16,16,TUCUMAN,16,16,4/29/2024 12:28:00 PM,WdyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.827809000000002,-65.311695","1714405211883, 1025403",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,0.500,0,5.84,0,50,0,50,,1,,0,0,0,0,0.0200,19,19,19,19,19,19,YERBA BUENA,TU00748L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.12,0,4.11,19,19,TUCUMAN,19,19,4/29/2024 12:27:00 PM,WNyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.827809000000002,-65.311695","1714405211883, 1025402",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,0.450,0,5.88,0,50,0,50,,0,,0,0,0,0,0,20,20,20,20,20,20,YERBA BUENA,TU00748L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.12,0,4.12,20,20,TUCUMAN,20,20,4/29/2024 12:26:00 PM,V9yDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.827809000000002,-65.311695","1714405211883, 1025401",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,0.520,0,6.22,0,50,0,50,,0,,0,0,0.200,0,0.0600,11,11,11,11,11,11,YERBA BUENA,TU00748L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.06,0,4.10,11,11,TUCUMAN,11,11,4/29/2024 12:25:00 PM,VtyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.827809000000002,-65.311695","1714405211883, 1025400",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,0.290,0,6.56,0,50,0,50,,1,,3,0,0.670,0,0,12,11,12,11,11,12,YERBA BUENA,TU00748L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,3.95,0,4.12,12,11,TUCUMAN,12,11,4/29/2024 12:17:00 PM,U9yDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.827809000000002,-65.311695","1714405211883, 1025397",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,0.240,0,10.7,0,50,0,50,,0,,0,0,0.0400,0,0.240,17,17,17,17,17,17,YERBA BUENA,TU00746L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.15,0,4.08,17,17,TUCUMAN,17,17,4/29/2024 12:20:00 PM,TdyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.819810999999998,-65.314861","1714405211883, 1025391",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,3.82,0,7.30,0,47.1,0,50,,0,,0,0,0.0200,0,1.77,20,20,20,20,20,20,YERBA BUENA,TU00739L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.04,0,3.64,20,20,TUCUMAN,20,20,4/29/2024 12:28:00 PM,SNyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.821953999999998,-65.274679","1714405211883, 1025386",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,0.770,0,10.1,0,50,0,50,,0,,0,0,0,0,0.210,23,23,23,23,23,23,YERBA BUENA,TU00739L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.17,0,4.10,23,23,TUCUMAN,23,23,4/29/2024 12:26:00 PM,RtyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.821953999999998,-65.274679","1714405211883, 1025384",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,0.640,0,10.2,0,50,0,50,,0,,0,0,0,0,0.150,20,20,20,20,20,20,YERBA BUENA,TU00739L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.17,0,4.12,20,20,TUCUMAN,20,20,4/29/2024 12:25:00 PM,RdyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.821953999999998,-65.274679","1714405211883, 1025383",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,0.680,0,12.6,0,50,0,50,,0,,1,0,0.190,0,0.790,20,19,20,19,19,20,YERBA BUENA,TU00739L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.12,0,3.95,20,19,TUCUMAN,20,19,4/29/2024 12:24:00 PM,RNyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.821953999999998,-65.274679","1714405211883, 1025382",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,0.440,0,8.56,0,50,0,50,,0,,10,0,0,0,0.0900,20,19,20,19,19,20,YERBA BUENA,TU00739L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.17,0,4.14,20,19,TUCUMAN,20,19,4/29/2024 12:23:00 PM,Q9yDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.821953999999998,-65.274679","1714405211883, 1025381",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,3.55,0,12.0,0,49.0,0,50,,0,,0,0,0,0,0.890,20,20,20,20,20,20,YERBA BUENA,TU00739L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.05,0,3.72,20,20,TUCUMAN,20,20,4/29/2024 12:16:00 PM,PdyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.821953999999998,-65.274679","1714405211883, 1025375",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,2.47,0,5.85,0,66.0,0,50,,1,,0,0,0,0,0,13,13,13,13,13,13,YERBA BUENA,TU00737L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.06,0,4.08,13,13,TUCUMAN,13,13,4/29/2024 12:27:00 PM,OtyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.826275,-65.271353","1714405211883, 1025372",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,0.300,0,5.89,0,50,0,50,,1,,0,0,0,0,0.0400,18,19,18,19,19,18,YERBA BUENA,TU00737L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.18,0,4.16,18,19,TUCUMAN,18,19,4/29/2024 12:15:00 PM,MtyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.826275,-65.271353","1714405211883, 1025364",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.883,0,0.410,0,6.93,0,50,0,50,,0,,2,0,0,0,0.0300,12,11,12,11,11,12,YERBA BUENA,TU00732L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.11,0,4.14,12,11,TUCUMAN,12,11,4/29/2024 12:25:00 PM,LdyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.8215,-65.2794","1714405211883, 1025359",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.882,0,5.64,0,10.6,0,32.9,0,53.1,,1,,3,0,3.19,0,0.530,16,17,16,17,17,16,YERBA BUENA,TU00732L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,3.62,0,3.88,16,17,TUCUMAN,16,17,4/29/2024 12:24:00 PM,LNyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.8215,-65.2794","1714405211882, 1025358",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.882,0,12.1,0,10.0,0,37.5,0,49.5,,0,,0,0,1.82,0,0,14,14,14,14,14,14,YERBA BUENA,TU00732L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,3.43,0,3.97,14,14,TUCUMAN,14,14,4/29/2024 12:23:00 PM,K9yDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.8215,-65.2794","1714405211882, 1025357",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.882,0,7.39,0,5.19,0,38.6,0,50,,0,,1,0,0.0300,0,0,12,12,12,12,12,12,YERBA BUENA,TU00732L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,3.98,0,3.97,12,12,TUCUMAN,12,12,4/29/2024 12:20:00 PM,KdyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.8215,-65.2794","1714405211882, 1025355",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.882,0,5.06,0,6.06,0,43.0,0,50,,0,,2,0,0.230,0,0.0500,19,19,19,19,19,19,YERBA BUENA,TU00732L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,3.98,0,4,19,19,TUCUMAN,19,19,4/29/2024 12:19:00 PM,KNyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.8215,-65.2794","1714405211882, 1025354",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.882,0,8.15,0,8.01,0,36.7,0,50,,0,,0,0,0.0200,0,0.310,20,20,20,20,20,20,YERBA BUENA,TU00732L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,3.96,0,3.83,20,20,TUCUMAN,20,20,4/29/2024 12:18:00 PM,J9yDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.8215,-65.2794","1714405211882, 1025353",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.882,0,12.9,0,10.8,0,47.2,0,49.4,,1,,22,0,0,0,0.120,124,120,124,120,120,124,YERBA BUENA,TU00214L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.12,0,4.09,124,120,TUCUMAN,124,120,4/29/2024 12:29:00 PM,I9yDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.812067,-65.29481899999999","1714405211882, 1025349",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.882,0,11.0,0,11.0,0,45.8,0,49.3,,3,,31,0,0,0,0.140,122,117,122,117,117,122,YERBA BUENA,TU00214L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.13,0,4.10,122,117,TUCUMAN,122,117,4/29/2024 12:28:00 PM,ItyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.812067,-65.29481899999999","1714405211882, 1025348",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.882,0,9.09,0,13.5,0,48.9,0,49.8,,0,,19,0,0.230,0,0.620,75,71,75,71,71,75,YERBA BUENA,TU00214L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.10,0,3.97,75,71,TUCUMAN,75,71,4/29/2024 12:27:00 PM,IdyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.812067,-65.29481899999999","1714405211882, 1025347",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.882,0,0.350,0,11.1,0,50,0,50,,0,,32,0,0,0,0.800,34,32,34,32,32,34,YERBA BUENA,TU00214L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.16,0,4,34,32,TUCUMAN,34,32,4/29/2024 12:26:00 PM,INyDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.812067,-65.29481899999999","1714405211882, 1025346",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 12:40:11.882,0,1.71,0,9.31,0,50.3,0,47.5,,0,,5,0,0,0,0.200,54,53,54,53,53,54,YERBA BUENA,TU00214L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,4.11,0,4.04,54,53,TUCUMAN,54,53,4/29/2024 12:25:00 PM,H9yDKo8BbzH95Go-mMQQ,bocx-kpi_viavi_user_plane-2024.04.29,,,"-26.812067,-65.29481899999999","1714405211882, 1025345",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
